"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "TypeScript JSX", "JSON", "CSS", "Groovy", "Batch", "Java Properties", "XML", "Properties", "comment", "blank", "total"
"c:\Users\17162\source\repos\Freelance\Layover\src\app\chat\chatExplore.tsx", "TypeScript JSX", 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 8, 12, 244
"c:\Users\17162\source\repos\Freelance\Layover\src\app\chat\chatInbox.tsx", "TypeScript JSX", 0, 0, 0, 220, 0, 0, 0, 0, 0, 0, 0, 4, 13, 237
"c:\Users\17162\source\repos\Freelance\Layover\src\app\eventCreation.tsx", "TypeScript JSX", 0, 0, 0, 615, 0, 0, 0, 0, 0, 0, 0, 0, 32, 647
"c:\Users\17162\source\repos\Freelance\Layover\src\app\eventCreationContinued.tsx", "TypeScript JSX", 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 1, 8, 192
"c:\Users\17162\source\repos\Freelance\Layover\src\app\event\[id].tsx", "TypeScript JSX", 0, 0, 0, 425, 0, 0, 0, 0, 0, 0, 0, 22, 41, 488
"c:\Users\17162\source\repos\Freelance\Layover\src\app\home.tsx", "TypeScript JSX", 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 10, 265
"c:\Users\17162\source\repos\Freelance\Layover\src\app\home\dashboard.tsx", "TypeScript JSX", 0, 0, 0, 1038, 0, 0, 0, 0, 0, 0, 0, 10, 45, 1093
"c:\Users\17162\source\repos\Freelance\Layover\src\app\index.tsx", "TypeScript JSX", 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 10, 16, 170
"c:\Users\17162\source\repos\Freelance\Layover\src\app\locked\lockedScreen.tsx", "TypeScript JSX", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 3, 60
"c:\Users\17162\source\repos\Freelance\Layover\src\app\login\login.tsx", "TypeScript JSX", 0, 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 10, 202
"c:\Users\17162\source\repos\Freelance\Layover\src\app\profile.tsx", "TypeScript JSX", 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 9, 16, 226
"c:\Users\17162\source\repos\Freelance\Layover\src\app\profile\[id].tsx", "TypeScript JSX", 0, 0, 0, 259, 0, 0, 0, 0, 0, 0, 0, 8, 20, 287
"c:\Users\17162\source\repos\Freelance\Layover\src\app\profile\editProfile.tsx", "TypeScript JSX", 0, 0, 0, 404, 0, 0, 0, 0, 0, 0, 0, 7, 24, 435
"c:\Users\17162\source\repos\Freelance\Layover\src\app\search.tsx", "TypeScript JSX", 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 6, 12, 151
"c:\Users\17162\source\repos\Freelance\Layover\src\app\settings\settings.tsx", "TypeScript JSX", 0, 0, 0, 286, 0, 0, 0, 0, 0, 0, 0, 10, 13, 309
"c:\Users\17162\source\repos\Freelance\Layover\src\app\settings\updatePassword.tsx", "TypeScript JSX", 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 4, 9, 150
"c:\Users\17162\source\repos\Freelance\Layover\src\app\sport\[id].tsx", "TypeScript JSX", 0, 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 14, 15, 293
"c:\Users\17162\source\repos\Freelance\Layover\src\app\swipe.tsx", "TypeScript JSX", 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 8, 17, 255
"c:\Users\17162\source\repos\Freelance\Layover\src\app\userOnboarding.tsx", "TypeScript JSX", 0, 0, 0, 501, 0, 0, 0, 0, 0, 0, 0, 0, 23, 524
